
Timestamp,ID,Extended,Bus,DLC,Data0,Data1,Data2,Data3,Data4,Data5,Data6,Data7
2068,180,0,0,8,40,0C,00,00,7D,FF,FF,02
2079,172,0,0,8,B3,0C,00,00,00,7D,00,7D
2079,168,0,0,8,7B,79,F8,72,F8,F1,03,00
2079,168,0,0,8,7C,7A,F8,72,F8,F1,03,00
2090,181,0,0,8,B2,00,80,00,08,30,00,44
2090,169,0,0,8,16,5A,87,CF,2B,87,FF,08
2090,180,0,0,8,41,0D,00,00,7D,FF,FF,02
2100,172,0,0,8,B4,0D,00,00,00,7D,00,7D
2101,168,0,0,8,7D,7B,F8,72,F8,F1,03,00
2101,168,0,0,8,7E,7C,F8,72,F8,F1,03,00
2101,181,0,0,8,B4,02,80,00,08,30,00,44
2112,169,0,0,8,18,5C,87,CF,2B,87,FF,08
2112,168,0,0,8,7F,7D,F8,72,F8,F1,03,00
2112,186,0,0,8,03,FF,0F,00,00,85,89,2F
2123,169,0,0,8,19,5D,87,CF,2B,87,FF,08
2123,181,0,0,8,B5,03,80,00,08,30,00,44
2123,170,0,0,8,A6,7E,F8,00,00,00,84,00
2134,185,0,0,6,74,09,00,00,C0,F0,,
2134,180,0,0,8,34,00,00,00,7D,FF,FF,02
2134,418,0,0,8,00,00,00,AF,D0,07,00,2B
2145,191,0,0,5,88,08,FF,FF,C0,,,
2145,416,0,0,8,00,80,00,70,FF,12,80,25
2145,180,0,0,8,35,01,00,00,7D,FF,FF,02
2145,172,0,0,8,A8,01,00,00,00,7D,00,7D
2156,168,0,0,8,74,72,F8,72,F8,F1,03,00
2156,168,0,0,8,75,73,F8,72,F8,F1,03,00
2156,181,0,0,8,BA,08,80,00,08,30,00,44
2167,169,0,0,8,0F,53,87,CF,2B,87,FF,08
2167,196,0,0,7,00,80,FD,00,80,FF,F2,
2167,180,0,0,8,36,02,00,00,7D,FF,FF,02
2178,172,0,0,8,A9,02,00,00,00,7D,00,7D
2178,168,0,0,8,76,74,F8,72,F8,F1,03,00
2178,168,0,0,8,77,75,F8,72,F8,F1,03,00
2188,181,0,0,8,BC,0A,80,00,08,30,00,44
2189,169,0,0,8,11,55,87,CF,2B,87,FF,08
2189,180,0,0,8,37,03,00,00,7D,FF,FF,02
2199,172,0,0,8,AA,03,00,00,00,7D,00,7D
2200,418,0,0,8,00,00,00,DF,D0,07,00,5B
2200,168,0,0,8,79,77,F8,72,F8,F1,03,00
2200,181,0,0,8,BE,0C,80,00,08,30,00,44
2211,169,0,0,8,13,57,87,CF,2B,87,FF,08
2211,180,0,0,8,38,04,00,00,7D,FF,FF,02
2211,172,0,0,8,AB,04,00,00,00,7D,00,7D
2222,168,0,0,8,7A,78,F8,72,F8,F1,03,00
2222,418,0,0,8,00,00,00,EF,D0,07,00,6B
2222,168,0,0,8,7B,79,F8,72,F8,F1,03,00
2233,181,0,0,8,C0,0E,80,00,08,30,00,44
2233,169,0,0,8,15,59,87,CF,2B,87,FF,08
2233,170,0,0,8,A2,7A,F8,00,00,00,84,00
2243,196,0,0,7,00,80,FD,00,80,FF,F2,
2244,206,0,0,8,00,00,00,00,00,00,00,00
2244,508,0,0,2,A9,03,,,,,,
2244,185,0,0,6,6B,00,00,00,C0,F0,,
2255,180,0,0,8,3A,06,00,00,7D,FF,FF,02
